"lista","EJ.1.A","EJ.1.B","EJ.1.C","Total.E1","EJ.2.A","EJ.2.B","EJ.2.C","EJ.2D","EJ.2E","EJ.2F","Total.E2","Puntaje.total","HW3_grade","partner_number","answer_1_c","AI","favorable","HW_1","HW_2","HW_3","Midterm_25","Midterm_25.1","Exam_35","Final_grade","Final_grade_excluding_HW_3"
"f9c9ccc77d727bc227760bb56c33b281b5f8c579aae04938abb0259b3b729cd3",10,5,7,22,4,0,"10",5,10,10,"39","61","5,1","solo","De analizarse detenidamente, los empleadores en Brasil podrían notar que el hecho de entrar por
una cuota de igualdad no significa que el promedio de notas de ellos será menor, incluso se puede
deducir que es mayor que la de los alumnos que entran en la amplia competencia. Esto podría reducir
la discriminación ya que les da evidencia que descarta que los blancos ricos son mas inteligentes que
el resto de la población.",NA,0,3.9,1,5.1,3.4,4.8,6,4.7,66.09022556
"8cc5b35aa8f36e1ab1330f9964896ad2eecae2b1760473980f3dab024d518178",10,5,10,25,10,4,"10",7,10,10,"51","76","6,1","a693595c34cc2d54f89082f7d84f663b585010caddced05df7e39722ef8999e9","Las políticas de cuotas en las universidades públicas de Brasil influyen en la discriminación laboral. Estas políticas aseguran que más minorías y estudiantes de bajos recursos accedan a educación superior, lo que expone a los empleadores a una fuerza laboral más diversa. Esto puede cambiar sus actitudes y reducir los prejuicios contra solicitantes de ciertas escuelas de élite. Al permitir que estudiantes de escuelas públicas y minorías asistan a buenas universidades, aumenta la posibilidad de que tengan éxito académico y profesional. Los empleadores empiezan a valorar más las habilidades adquiridas, sin importar la institución. La presencia de minorías en universidades públicas reduce las diferencias entre grupos y puede disminuir la discriminación basada en raza o nivel socioeconómico, promoviendo la equidad en el empleo. Además, mejora la percepción pública sobre la accesibilidad a la educación y el empleo para quienes no tienen privilegios.

Pero también es importante mencionar que, si las políticas de cuotas no se aplican bien, podrían causar problemas. Algunos empleadores podrían pensar que los estudiantes que se beneficiaron de las cuotas no cumplieron con los mismos estándares que otros. Esto puede hacer que vean a estos graduados como menos calificados y resultaría en más discriminación al contratarlos. Así, estos candidatos tendrían más dificultades, incluso si estudiaron en buenas universidades. Además, si los empleadores prefieren candidatos de colegios privados, las cuotas podrían empeorar esto si creen que los estudiantes de escuelas públicas son menos competentes.

Es por esto que, para prevenir posibles efectos negativos que podrían causar las cuotas es
clave informar a las empresas sobre sus ventajas, enfocarse en el desempeño de los
candidatos en lugar de su origen, y garantizar la transparencia y el seguimiento de estas
políticas. Así, se pueden reducir las percepciones negativas y asegurar que las cuotas
beneficien a los grupos “excluidos” sin generar más discriminación.",100,0,7,7,6.1,4,5.8,4.9,5.2,73.15789474
"3ec807c3ac31da32a669123902318f4cc1ed61dc7249ff3c26cf0b12c8117d94",10,5,7,22,7,6,"10",10,10,10,"53","75","6,0","25c8cef1e1cce8fe1280473ac86b719266a2358e7a0c0985a2d3c07da87f6416","El comportamiento elitista por parte de los empleadores en Brasil, se puede ver afectado por la política de cuotas implementada por las universidades, ya que la educación superior de calidad deja de ser un privilegio. Ahora gran parte de la población brasileña puede acceder an ella independiente de si pertenecen a minorías. Esto permite disminuir el comportamiento elitista, porque el colegio del cual salieron los postulantes ya no es una señal válida para medir las capacidades de las personas, es decir, salir de un colegio público no es motivo para ser rechazado en un trabajo como ocurría antes. La política de cuotas permite que los empleadores al momento de contratar se encuentren con un grupo mas diverso de personas pero con la característica de que todos cuentan con el mismo nivel de conocimiento y habilidades, por ende ya no hay espacio para discriminar. 
Con respecto al efecto que tiene la política en la discriminación que se produce contra los negros y los pueblos indígenas en el proceso de contratación, esta debiese disminuir porque ahora estos grupos tienen mayores posibilidades para estudiar en universidades públicas de calidad. Esto genera que las personas pertenecientes a las minorías afectadas, tengan mayores oportunidades laborales, pues antes de la implementación de la política de cuotas se les daba mayor prioridad a las personas que habían salido de colegios privados y de prestigio, por ende no era posible que una persona negra o indígena llegar a obtener un cargo en una empresa, pero sabemos que con la implementación de la política este escenario cambio, porque sus oportunidades laborales se extendieron.",37,1,6.6,6.7,6,3.2,5.4,4.8,4.8,67.59398496
"0fbad75493531eca020a781f1f9bc90afa0f71600552dc3ac44dbe5b647f6226",10,4,10,24,10,4,"10",10,10,10,"54","78","6,2","solo","Aplicar una medida como esta, bajo mi punto de vista, puede afectar de manera negativa el comportamiento elitista, es decir, los empleadores van a priorizar aun mas trabajadores que hayan estudiado en colegio ricos/privados/prestigiosos, esto se debe a que estos últimos si o si van a tener un puntaje corte mayor que quienes tienen cuota en la universidad, por lo que esto va a ser visto como una señal de mejor desempeño laboral. De manera más simple, quienes no tienen cuota no solo estudiaron en un mejor colegio, también tuvieron que sacarse un mejor resultado en la prueba por lo que tienen una mejor señal de ser mejores trabajadores.

Respecto a la otra pregunta,  yo si creo que una política como esta va a aumentar la discriminación en el país, dado a que las personas de color e indígenas van a tener una mayor probabilidad de estudiar en una universidad (suponiendo que toda la población tiene el mismo nivel de inteligencia) por lo que las personas que no son parte de esto grupos se verán perjudicadas, es decir, tienen un efecto fijo negativo.",100,0,6.2,6.3,6.2,5.7,5.9,4.3,5.3,75.63909774
"14e5367f8f0dd2e47a20fae1bbab281f067c42cda18ddcac305ae5c305f84e62",10,5,10,25,7,6,"1",7,10,9,"40","65","5,3","6d1e2a69315d9a9ed0c03e0eee9ec54bee4041a9c1eaba912c8d725f737ca216","Como en este caso se le exige menos a los alumnos que están en las cuotas, haber entrado a una carrera estando en una cuota va a tener menos mérito que habiendo entrado por la vía difícil. Esto va a afectar la discriminación porque la señal de la educación superior va a ser peor para medir capacidades por igual, por lo tanto se va a dar que va a existir mas discriminación en las entrevistas de trabajo para ""corregir"" la diferencia de capacidades que el proceso de selección omitió. Por lo tanto, aunque la universidad tenga diferente exigencia para ambos grupos y trate de igualarlos, finalmente en las entrevistas laborales van a discriminar más fuertemente, porque a un grupo le exigieron menos que a otro, y ellos quieren capacidades, por lo que van a discriminar, lo más probable es que utilicen las razas. Por ejemplo, si yo estoy contratando bajo este sistema y entrevisto a una persona de descendencia indígena, voy a exigirle más que al resto porque a él le exigieron menos que los demás para entrar a la misma carrera, por lo que la señal de capacidad se ve sesgada, no tengo claro si sacó el título por su capacidad, o si fue porque le exigieron menos.",0,0,6.6,6.7,5.3,4.3,5.4,5.6,5.3,75.93984962
"849b95c5d0ab03700bde97de256b201020156973457ce5eb5a2669c08fd842ff",10,5,10,25,8,7,"10",7,10,9,"51","76","6,1","17c440456686b182da0f1e9799539bf61ba6752978e3c737fc813dc565222518","Analizando los resultados obtenidos anteriormente, los de amplia competencia tienen una nota corte promedio mas alta que los estudiantes de las cuotas, por lo que esto refleja un acceso diferencial a la educación superior entre diferentes grupos socieconomicos y ectnicos, en Brasil. Esto podría afectar el comportamiento de los empleadores hacia uno mas elitista, si medimos la señal de educacion como en el item anterior, va a provocar discriminación de todas formas porque la señal indica que el proceso de selección para los dos tipos de alumnos fue diferente generando que se prefiera uno por sobre otro y no logrando el objetivo con ese mecanismo de selección. Es por esto que podría haber discriminacion racial en el proceso de contratación, al estar la señal sesgada, la selección no es imparcial en terminos de evaluación de candidatos porque saben que las condiciones de selección en primero lugar ya fueron diferentes para ellos, con menor rendimiento, lo cual puede provocar una futura no contratación. ",34,0,6.5,6.9,6.1,3.1,5.8,5.7,5.2,73.53383459
"f883a56de3b04b7ed0f0e02ac21ef66c6331e9d1fb6ce3a6001ae4a881ee82ea",10,5,10,25,4,5,"10",7,10,10,"46","71","5,7","30ddbeb3e1213cd7b2dc751255248e073efe90f741f536f729c848b3879d03b6","La política de cuotas en las universidades públicas de Brasil intenta ser justa y dar más oportunidades educativas a grupos que han sido marginados por mucho tiempo. Sin embargo, esta política puede tener efectos mixtos en cómo los empleadores ven a estos estudiantes y en la discriminación contra las personas negras e indígenas durante el proceso de contratación.

Los empleadores podrían pensar que los estudiantes que entraron por cuotas no tuvieron que cumplir con los mismos estándares académicos difíciles que los demás, lo que podría ser visto de manera negativa. Esto puede actuar como una señalización negativa, ya que los empleadores podrían asumir que estos candidatos no atravesaron los mismos estándares académicos que la competencia para poder ser admitidos. Este prejuicio podría llevar a la conclusión de que estos estudiantes son menos calificados, sin importar sus habilidades y desempeño real.

Si los empleadores creen que los estudiantes de cuotas recibieron ventajas en su educación superior, podrían discriminar contra ellos, incluso si son buenos candidatos con muchas calificaciones. El contratante, al presentarse una persona que pertenece a uno de estos grupos, podría generar una discriminación negativa, concluyendo que su educación fue facilitada y no por sus propios méritos. Esto estaría aumentando aún más la discriminación a estos grupos fuera de su origen étnico.

La preferencia por candidatos de escuelas privadas y prestigiosas podría crecer, ya que los empleadores podrían pensar que los estudiantes de cuotas recibieron una educación de menor calidad. Esto podría llevar a una mayor discriminación y actitudes elitistas en la contratación hacia estos grupos, a pesar del objetivo positivo de la política de promover la igualdad. Los empleadores podrían preferir candidatos provenientes de un entorno educativo con mayores oportunidades, personas que no tuvieron la necesidad de acceder a cuotas.",64,0,6.2,6.5,5.7,3.9,5.8,4.9,5.1,71.80451128
"ddcc5579ec111f7d662ae8d5c264a19808b6e614de843edead312996640a376e",10,10,7,27,6,6,"10",5,10,3,"40","67","5,5","18ff10650d0b85fd7d069dab6cadefc6bb7026f1b8aca0072737612581d38c63","Basado en los resultados obtenidos, es posible que la política de cuotas en las universidades brasileñas tengan un impacto positivo en la reducción del comportamiento elitista por parte de los empleadores. Al garantizar que un mayor número de estudiantes de diversas etnias y procedencias socioeconómicas acceden a una educación superior de calidad, se espera que los empleadores vean un grupo más diverso de candidatos graduados de estas instituciones prestigiosas. Esto podría ayudar a disminuir la discriminación basada en la escuela de procedencia y aumentar la valoración de las competencias y habilidades durante la educación superior. Además, al permitir que más estudiantes negros e indígenas accedan a la educación superior, la política de cuotas puede ayudar a reducir la discriminación contra estos grupos en el proceso de contratación. Con mayor representación en las universidades públicas de alto nivel, estos grupos podrían enfrentar menos prejuicios y ser elevados más equitativamente por sus méritos académicos y profesionales.",100,1,6.7,6.4,5.5,3.3,5.5,4.1,4.6,64.5112782
"382ee4a133feeaf4ac21fe84abdfd482911ffed7cac1b597e9b44321a896adb6",10,5,10,25,10,6,"10",7,10,10,"53","78","6,2","76f2c28c1ed62d24b946af8ffbb3815cb63a2c817d3d86b74305d401b80b1eb9","Basándonos en los resultados anteriores de las preguntas 1. A) y B) en relación a las diferencias promedio en las notas de corte y teniendo en cuenta que la nota de corte promedio es superior para los alumnos de amplia competencia, en comparación con los alumnos beneficiarios de una cuota. Esto implica que los alumnos de amplia competencia, generalmente, requieren puntajes mas altos para ser admitidos en los mismos cursos que los alumnos beneficiados. Por otra parte, la política de cuotas implementada en Brasil asegura que el 50% de los cupos de admisión en los cursos, están asegurados/reservados, para alumnos que provienen de escuelas públicas y dentro de este 50%, hay fracciones específicas para alumnos negros, mulatos, indígenas, etc. Es por este sistema, que podemos observar ciertas implicancias, que serán abordadas a continuación:

1. En relación al comportamiento elitista de los empleadores:
Si es que los estudiantes beneficiados de cuotas, demuestran que logran un buen desempeño, esto puede producir, que cambien los prejuicios y disminuya un poco el comportamiento elitista por parte de los empleadores, ya que, esto podría demostrar que las capacidades no dependen
únicamente del colegio al cual asistió el alumno y de esta manera se podrían empezar a valorar más los resultados académicos universitarios. Con este sistema de cuotas, como pueden ingresar mas alumnos beneficiados a las universidades, estas pueden presentar una mayor diversidad de alumnos, y gracias a esto generar enseñanzas distintas a cuando no estaba este sistema, es por esto, que se podría reducir el sesgo que realizan los empleadores en relación con los alumnos asistentes a colegios privados y más caros, debido a que se puede tomar más en cuenta las habilidades y capacidades adquiridas en la educación superior.

2. Efecto en la discriminación contra los negros y los pueblos indígenas en los procesos de contratación:
Como el sistema de cuotas le otorga más oportunidades de acceder a una educación superior de calidad, en el caso de los negros e indígenas, estos van a estar más nivelados con el resto de las personas a la hora de entrar al mercado laboral. Todo esto, debido a que pueden tener títulos de universidades más prestigiosas, que antes era más difícil de obtener, lo que puede hacer que haya menores barreras de discriminación en relación a este entorno. Al incluir aún más a los negros e indígenas en las universidades de calidad, pueden eventualmente producir una mayor inclusión de ellos en el mercado laboral, reduciendo la discriminación en relación a los empleos. Esto, debido a que al tener mayor contacto y visibilidad con ellos, se pueden ir reduciendo ciertos estereotipos. Además, con el sistema de cuotas se promueve la inclusión en la educación, por lo que, puede llevar a que también se promueva más en el mercado laboral y los empleadores valoren más la diversidad. Hay que tener en cuenta, que para ambas preguntas también podría suceder el caso contrario, en el caso del impacto en el comportamiento elitista de los empleadores, podría suceder, que aumente la tendencia de considerar los colegios en los procesos de contratación, debido a que como las cuotas aseguran que estudiantes de diversas procedencias tienen acceso a este nivel alto de universidades, recurren a los colegios como método de diferenciación para evaluar a los candidatos. En relación al impacto en la discriminación, si es que los empleadores continúan analizando el colegio de procedencia para la selección, las barreras de discriminación se podrían mantener, enfrentando desventajas en el mercado laboral y reduciendo las posibilidades de empleo.",0,0,6.4,7,6.2,5.6,5.8,5.2,5.7,80.30075188
"b8bc29b27d9b5f85e7a4c28e36f55cdd94e02ac03578bce191461d2523678f4b",10,5,7,22,10,9,"10",7,10,10,"56","78","6,2","6fcb9aa52e3614fa7a1989f230f589342fea4b77953406ea6f875df37f039613","Antes de la política de cuotas la educación universitaria pública de alta calidad se consideraba algo privilegiado y al alcance de solo aquellos alumnos que habían tenido una educación privada, lo que contribuía a mantener una percepción elitista de la educación superior. La política de cuotas permite que un gran número de alumnos de escuelas públicas y de minorías accedan a una educación superior de prestigio. Esto ayuda a que los entrevistadores tengan candidatos de muchos colegios diferentes pero con la misma educación universitaria aplicando al mismo puesto de trabajo. A medida que estos estudiantes, de diferentes contextos, se gradúan y entran al mercado laboral, los empleadores se encuentran con un grupo más diverso de candidatos bien calificados, lo que debería disminuir fuertemente la discriminación contra estos grupos en el proceso de contratación. Gracias a esta política ya no se puede contratar a alguien de un colegio privado y saber que su desempeño será mejor que un alumno de un colegio público ya que ambos pueden haber asistido a la misma universidad y por lo tanto, tuvieron la misma educación superior, la que los hace igual de calificados para este trabajo. Además, desde el punto de vista de los graduados pertenecientes a los grupos discriminados, esta política aumenta sus posibilidades de estudiar en mejores universidades públicas, lo que abre sus fronteras de empleos y da la oportunidad de que ellos participen en mercados laborales que antes estaban reservados para alumnos que habían tenido una educación escolar privada y universitaria buena. Esta forma también muestra como disminuirá la discriminación contra los negros y los pueblos indígenas en el proceso de contratación.",49,1,6.6,6.8,6.2,4.3,5,5.2,5.1,72.40601504
